Компания,Модальная категория,Кол-во товаров модальной категории,Медианный % скидки,Кол-во товара: Газы и газовые смеси,Кол-во товара: Герметики,Кол-во товара: Клеи и строительные смеси,Кол-во товара: Косметика,Кол-во товара: Промышленные технологии,Кол-во товара: Сварочные материалы и оборудование,Медианный % скидки: Газы и газовые смеси,Медианный % скидки: Герметики,Медианный % скидки: Клеи и строительные смеси,Медианный % скидки: Косметика,Медианный % скидки: Промышленные технологии,Медианный % скидки: Сварочные материалы и оборудование
Симферополь-Торг,Газы и газовые смеси,2,2.09,2,0,0,0,0,0,2.09,,,,,
ТГС,Сварочные материалы и оборудование,6,2.005,0,0,0,0,0,6,,,,,,2.005
ТД ТНП,Газы и газовые смеси,5,2.0,5,0,0,0,0,0,2.0,,,,,
Чистая линия,Косметика,1,24.16,0,0,0,1,0,0,,,,24.16,,
Шунгит,Косметика,2,11.0,0,0,0,2,0,0,,,,11.0,,
Эксидерм,Косметика,5,11.96,0,0,0,5,0,0,,,,11.96,,
Эсвицин,Косметика,5,11.06,0,0,0,5,0,0,,,,11.06,,
Эсцивин Макфарма,Косметика,1,12.0,0,0,0,1,0,0,,,,12.0,,
Югагаз,Газы и газовые смеси,21,2.01,21,0,0,0,0,0,2.01,,,,,
ЯРПОЖИНВЕСТ,Сварочные материалы и оборудование,24,2.01,20,0,0,0,0,24,2.01,,,,,2.01
Янберг,Газы и газовые смеси,3,2.01,3,0,0,0,0,0,2.01,,,,,
без бренда,Газы и газовые смеси,3,2.01,3,0,0,0,0,0,2.01,,,,,
сыворотка для волос Корея,Косметика,1,16.0,0,0,0,1,0,0,,,,16.0,,
