Компания,Категория,Название товара,Цена,Скидочная Цена,Объем,Единицы Измерения
КЕСТО,Универсальные ПВА клеи,Kesto PVA D4,1100.0,1020.0,1.0,кг
КЕСТО,Клеи паркетные и специальные,Kesto Eco 2 K-PU,3800.0,3550.0,6.0,кг
КЕСТО,Клеи паркетные и специальные,Kesto EcoStandard,4200.0,3950.0,18.0,кг
КЕСТО,Силиконовые герметики,Kesto Silicone,650.0,590.0,0.31,литр
КЕСТО,Акриловые герметики,Kesto ACRYL PRO,550.0,500.0,0.31,литр
КЕСТО,Акриловые герметики,Kesto ACRYL,450.0,420.0,0.31,литр
КЕСТО,Производство промышленных фильтров,Kestopur 400/4,11000.0,10200.0,15.0,кг
КЕСТО,Производство промышленных фильтров,Kestopur 400/2,10500.0,9800.0,15.0,кг
КЕСТО,Производство сэндвич-панелей для автофургонов и спецтехники,Kestopur PL240,13500.0,12500.0,24.0,кг
КЕСТО,Производство сэндвич-панелей для автофургонов и спецтехники,Kestopur 200/90,14200.0,13200.0,15.0,кг
КЕСТО,Производство сэндвич-панелей для автофургонов и спецтехники,Kestopur 15-15,11800.0,11000.0,15.0,кг
КЕСТО,Производство сэндвич-панелей для автофургонов и спецтехники,Kestopur 200/50,12500.0,11600.0,15.0,кг
КЕСТО,Производство сэндвич-панелей для автофургонов и спецтехники,Kestopur 200/30,11500.0,10700.0,15.0,кг
КЕСТО,Склеивание массива древесины,Kestokol DS-R,1850.0,1720.0,15.0,литр
КЕСТО,Деревообрабатывающая промышленность,Kestokol DS/HV-R,2100.0,1950.0,15.0,кг
КЕСТО,Склеивание массива древесины,Kestokol DM-R,1950.0,1800.0,15.0,литр
КЕСТО,Деревообрабатывающая промышленность,Kesto Kestokol D4000 (PVA D4),1250.0,1150.0,1.0,кг
КЕСТО,Деревообрабатывающая промышленность,Kestokol D300 (PVA D3),950.0,880.0,15.0,кг
КЕСТО,Вся продукция,Kesto Master Flis,890.0,820.0,5.0,кг
КЕСТО,Дополнительные средства для ухода за плиткой и швами,Kesto Clean,680.0,620.0,0.5,литр
КЕСТО,Ламинация плит полимерными пленками,AKVAPUR SM 1000,9800.0,9200.0,15.0,кг
КЕСТО,Плиточные клеи для влажных помещений,Kesto Premium Fix,850.0,780.0,25.0,кг
КЕСТО,Деревообрабатывающая промышленность,Kestokol D301,1100.0,1020.0,15.0,кг
КЕСТО,Деревообрабатывающая промышленность,Kestokol D3,1000.0,920.0,15.0,кг
КЕСТО,Ламинация плит полимерными пленками,Kestofol PHL-R,16500.0,15500.0,15.0,литр
КЕСТО,Клеи-расплавы,KESTOMELT S200,3200.0,3000.0,25.0,кг
КЕСТО,Деревообрабатывающая промышленность,Kestokol DM/HV-R,2250.0,2100.0,15.0,кг
КЕСТО,Ламинация плит полимерными пленками,Sitol 2340/В-R,1950.0,1800.0,15.0,кг
КЕСТО,Гибридные герметики,Kesto ULTRA FIX,2200.0,2050.0,0.31,литр
КЕСТО,Клеи для обоев,Kesto Master Pro,750.0,690.0,3.0,кг
КЕСТО,Клеи паркетные и специальные,Kesto 2 K-PU,4200.0,3950.0,6.0,кг
КЕСТО,Клей для искусственной травы,Kesto Eco 2K-PU Green,3800.0,3550.0,6.0,кг
КЕСТО,Клеи паркетные и специальные,Kesto Flex Silan,2850.0,2650.0,5.0,кг
КЕСТО,Грунтовки,Kesto Primer,950.0,880.0,1.0,кг
КЕСТО,Продукция для промышленности,Отвердитель Hardener M,3500.0,3250.0,1.0,литр
КЕСТО,Дисперсионные клеи,Kestomer VPG-R,1550.0,1420.0,15.0,кг
КЕСТО,Дисперсионные клеи,Kestomer VP-R,1450.0,1350.0,15.0,кг
КЕСТО,Дисперсионные клеи,Sitol 4170/S-R,1650.0,1520.0,15.0,кг
КЕСТО,Дисперсионные клеи,Sitol 4180-R,1750.0,1620.0,15.0,кг
КЕСТО,Дисперсионные клеи,Kestomer VPS-R,1850.0,1720.0,15.0,кг
КЕСТО,Ламинация плит полимерными пленками,Kestofol PH/P-R,14200.0,13200.0,15.0,литр
КЕСТО,Ламинация плит полимерными пленками,Kestofol PH-R,13500.0,12500.0,15.0,литр
КЕСТО,Праймеры,Kesto Light Primer,1250.0,1150.0,5.0,кг
КЕСТО,Склеивание массива древесины,Kestokol PVA Profi-R,2050.0,1900.0,15.0,литр
КЕСТО,Клеи паркетные и специальные,Kesto Carpet Fix,1950.0,1800.0,5.0,кг
КЕСТО,Упрочняющие ленты,Kesto Keraband,850.0,780.0,1.0,м2
КЕСТО,Продукция для промышленности,Kestofol PH/LV-R,15200.0,14200.0,15.0,кг
КЕСТО,Клеи для напольных покрытий,Kesto Extra Plus,2450.0,2300.0,13.0,кг
КЕСТО,Клеи-расплавы для полиграфии,KESTOMELT K610,2850.0,2650.0,20.0,кг
КЕСТО,Клеи-расплавы для полиграфии,KESTOMELT K608,2650.0,2450.0,20.0,кг
КЕСТО,Деревообрабатывающая промышленность,Kestokol 330,1100.0,1020.0,15.0,кг
КЕСТО,Упаковочная промышленность,Kestomer VP/LV-R,1550.0,1420.0,15.0,кг
КЕСТО,Система для токопроводящих покрытий,Kesto Electric Plus,4200.0,3950.0,18.0,кг
КЕСТО,Упаковочная промышленность,Sitol 4176-R,1650.0,1520.0,15.0,кг
КЕСТО,Упаковочная промышленность,Sitol 4176/UV-R,1750.0,1620.0,15.0,кг
КЕСТО,Упаковочная промышленность,Sitol 4171-R,1550.0,1420.0,15.0,кг
КЕСТО,Деревообрабатывающая промышленность,Kestokol D300 HV,950.0,880.0,15.0,кг
КЕСТО,Деревообрабатывающая промышленность,Kestokol M05,1050.0,980.0,15.0,кг
КЕСТО,Деревообрабатывающая промышленность,Kestokol WR125,1200.0,1120.0,15.0,кг
КЕСТО,Упаковочная промышленность,Kestomer VPE/UV-R,1850.0,1720.0,15.0,кг
КЕСТО,Продукция для промышленности,Kestomer VPC-R,1650.0,1520.0,15.0,кг
КЕСТО,Продукция для промышленности,Kestomer VТ-R,1750.0,1620.0,15.0,кг
КЕСТО,Продукция для промышленности,Sitol 2062/UV-R,1950.0,1800.0,15.0,кг
КЕСТО,Упаковочная промышленность,Sitol 4175-R,1450.0,1350.0,15.0,кг
КЕСТО,Упаковочная промышленность,Sitol 4171/1-R,1550.0,1420.0,15.0,кг
КЕСТО,Упаковочная промышленность,Sitol 4176/T-R,12500.0,11800.0,1000.0,кг
КЕСТО,Упаковочная промышленность,Sitol 4310,13500.0,12500.0,1000.0,кг
КЕСТО,Упаковочная промышленность,Sitol 4401,1650.0,1520.0,15.0,кг
КЕСТО,Дисперсионные клеи,Sitol 3348-R,1750.0,1620.0,15.0,кг
КЕСТО,Деревообрабатывающая промышленность,Kestokol WR6040,1300.0,1200.0,15.0,кг
КЕСТО,Система для токопроводящих покрытий,Kesto Electric Tape,2800.0,2600.0,0.5,кг
КЕСТО,Система для токопроводящих покрытий,Kesto Electric Primer,3200.0,3000.0,1.0,литр
КЕСТО,Штукатурки,Kesto TR,750.0,690.0,25.0,кг
