Компания,Категория,Название товара,Цена,Скидочная Цена,Объем,Единицы Измерения
КРЫМСКАЯ-РОЗА,Косметика для лица,"Тоник для лица увлажняющий с экстрактом лаванды, 100 мл",649.0,,[0.1],литр
КРЫМСКАЯ-РОЗА,Косметика для лица,"Тоник для лица балансирующий с экстрактом лаванды, 200 мл",899.0,,[0.2],литр
КРЫМСКАЯ-РОЗА,Косметика для лица,"Тоник для лица балансирующий с экстрактом лаванды, 100 мл",649.0,,[0.1],литр
КРЫМСКАЯ-РОЗА,Косметика для лица,Сыворотка омолаживающая для лица с экстрактом лаванды,1399.0,,[0.03],литр
КРЫМСКАЯ-РОЗА,Косметика для лица,Сыворотка балансирующая для лица с экстрактом лаванды,1399.0,,[0.03],литр
КРЫМСКАЯ-РОЗА,Косметика для лица,"Мицеллярная вода для лица освежающая с экстрактом лаванды, 200 мл",799.0,,[0.2],литр
КРЫМСКАЯ-РОЗА,Косметика для лица,"Мицеллярная вода для лица освежающая с экстрактом лаванды, 100 мл",579.0,,[0.1],литр
КРЫМСКАЯ-РОЗА,Косметика для лица,Масло питательное для лица с лавандой и розой,1499.0,,[0.03],литр
КРЫМСКАЯ-РОЗА,Косметика для лица,Маска для лица увлажняющая с экстрактом лаванды,899.0,,[0.1],литр
КРЫМСКАЯ-РОЗА,Косметика для лица,Эксфолиант для лица очищающий с экстрактом лаванды,899.0,,[0.1],литр
КРЫМСКАЯ-РОЗА,Косметика для лица,Крем-мусс для лица увлажняющий с экстрактом лаванды,1399.0,,[0.05],литр
КРЫМСКАЯ-РОЗА,Косметика для лица,Крем для лица регенерирующий с экстрактом лаванды,1399.0,,[0.05],литр
КРЫМСКАЯ-РОЗА,Косметика для лица,Крем для лица антивозрастной с экстрактом лаванды,1399.0,,[0.05],литр
КРЫМСКАЯ-РОЗА,Косметика для лица,"Гидролат лаванды и розы, 200 мл",899.0,,[0.2],литр
КРЫМСКАЯ-РОЗА,Косметика для лица,"Гидролат лаванды и розы, 100 мл",689.0,,[0.1],литр
КРЫМСКАЯ-РОЗА,Косметика для лица,"Гель для умывания очищающий с экстрактом лаванды, 200 мл",799.0,,[0.2],литр
КРЫМСКАЯ-РОЗА,Косметика для лица,"Гель для умывания очищающий с экстрактом лаванды, 100 мл",579.0,,[0.1],литр
КРЫМСКАЯ-РОЗА,Косметика для тела,"Крем-масло для тела питательное с гидролатом розы, 150 мл",599.0,,[0.15],литр
КРЫМСКАЯ-РОЗА,Косметика для тела,"Крем для рук увлажняющий, 30 мл",195.0,,[0.03],литр
КРЫМСКАЯ-РОЗА,Косметика для тела,"Крем для рук увлажняющий, 75 мл",419.0,,[0.075],литр
КРЫМСКАЯ-РОЗА,Косметика для тела,"Крем-масло для тела питательное, 250 мл",899.0,,[0.25],литр
КРЫМСКАЯ-РОЗА,Косметика для тела,"Скраб для тела обновляющий, 250 мл",799.0,,[0.25],литр
КРЫМСКАЯ-РОЗА,Косметика для тела,"Крем для тела ультраувлажняющий, 200 мл",799.0,,[0.2],литр
КРЫМСКАЯ-РОЗА,Косметика для тела,"Скраб для ног смягчающий, 100 мл",479.0,,[0.1],литр
КРЫМСКАЯ-РОЗА,Косметика для тела,"Молочко для тела укрепляющее, 200 мл",699.0,,[0.2],литр
КРЫМСКАЯ-РОЗА,Косметика для тела,"Крем для рук восстанавливающий, 30мл",195.0,,[0.03],литр
КРЫМСКАЯ-РОЗА,Косметика для тела,Крем для рук и ногтей питательный с лавандой и розой,429.0,,[0.1],литр
КРЫМСКАЯ-РОЗА,Косметика для тела,Крем для ног обновляющий с лавандой и розой,529.0,,[0.1],литр
КРЫМСКАЯ-РОЗА,Косметика для тела,Спрей для тела ультраувлажняющий с лавандой и розой,569.0,,[0.1],литр
КРЫМСКАЯ-РОЗА,Косметика для тела,Гель для душа очищающий с лавандой и розой,529.0,,[0.25],литр
КРЫМСКАЯ-РОЗА,Косметика для тела,Масло-концентрат для тела омолаживающее с лавандой и розой,899.0,,[0.1],литр
КРЫМСКАЯ-РОЗА,Косметика для тела,Крем-гель для душа увлажняющий с лавандой и розой,529.0,,[0.25],литр
КРЫМСКАЯ-РОЗА,Косметика для тела,Гель для интимной гигиены освежающий с лавандой и розой,579.0,,[0.2],литр
КРЫМСКАЯ-РОЗА,Косметика для тела,Крем-щербет для тела увлажняющий с лавандой и розой,899.0,,[0.25],литр
КРЫМСКАЯ-РОЗА,Косметика для тела,Скраб для тела мультиабразивный с лавандой и розой,679.0,,[0.25],литр
КРЫМСКАЯ-РОЗА,Косметика для тела,Крем для тела омолаживающий с лавандой и розой,899.0,,[0.25],литр
КРЫМСКАЯ-РОЗА,Косметика для тела,Скраб для тела кофейный с лавандой и розой,679.0,,[0.25],литр
КРЫМСКАЯ-РОЗА,Косметика для тела,Крем-баттер для тела питательный с лавандой и розой,899.0,,[0.25],литр
КРЫМСКАЯ-РОЗА,Косметика для тела,Мусс-скраб для тела солевой с лавандой и розой,679.0,,[0.25],литр
КРЫМСКАЯ-РОЗА,Косметика для тела,"Крем для тела ультраувлажняющий, 30 мл",129.0,,[0.03],литр
КРЫМСКАЯ-РОЗА,Косметика для тела,"Крем-гель для душа увлажняющий, 30 мл",99.0,,[0.03],литр
КРЫМСКАЯ-РОЗА,Косметика для тела,"Крем для рук восстанавливающий, 75 мл",419.0,,[0.075],литр
КРЫМСКАЯ-РОЗА,Косметика для тела,"Гоммаж для тела эксфолиирующий, 200 мл",799.0,,[0.2],литр
КРЫМСКАЯ-РОЗА,Косметика для тела,"Гель для ног охлаждающий, 75 мл",529.0,,[0.075],литр
КРЫМСКАЯ-РОЗА,Косметика для тела,"Мусс для интимной гигиены освежающий, 150 мл",579.0,,[0.15],литр
КРЫМСКАЯ-РОЗА,Косметика для тела,"Гель-скраб для душа очищающий, 250 мл",529.0,,[0.25],литр
КРЫМСКАЯ-РОЗА,Косметика для тела,"Крем-гель для душа увлажняющий, 250 мл",529.0,,[0.25],литр
КРЫМСКАЯ-РОЗА,Косметика для волос,Спрей-концентрат для волос с гидролатом розы,699.0,,[0.1],литр
КРЫМСКАЯ-РОЗА,Косметика для волос,Молочко для волос Многофункциональное,699.0,,[0.1],литр
КРЫМСКАЯ-РОЗА,Косметика для волос,Шампунь Укрепляющий,549.0,,[0.25],литр
КРЫМСКАЯ-РОЗА,Косметика для волос,Сыворотка для волос Балансирующая,1099.0,,[0.05],литр
КРЫМСКАЯ-РОЗА,Косметика для волос,Маска для волос Восстанавливающая,679.0,,[0.25],литр
КРЫМСКАЯ-РОЗА,Косметика для волос,Сыворотка для волос Укрепляющая,1099.0,,[0.05],литр
КРЫМСКАЯ-РОЗА,Косметика для волос,Бальзам-маска для волос Питательная,679.0,,[0.25],литр
КРЫМСКАЯ-РОЗА,Косметика для волос,Бальзам для волос Увлажняющий,549.0,,[0.25],литр
КРЫМСКАЯ-РОЗА,Косметика для волос,"Шампунь увлажняющий, 30 мл",99.0,,[0.03],литр
КРЫМСКАЯ-РОЗА,Косметика для волос,"Бальзам для волос увлажняющий, 30 мл",99.0,,[0.03],литр
КРЫМСКАЯ-РОЗА,Косметика для волос,Шампунь Балансирующий,549.0,,[0.25],литр
КРЫМСКАЯ-РОЗА,Косметика для волос,Шампунь для волос против перхоти,549.0,,[0.25],литр
КРЫМСКАЯ-РОЗА,Косметика для волос,Шампунь Питательный,549.0,,[0.25],литр
КРЫМСКАЯ-РОЗА,Косметика для волос,Шампунь Увлажняющий,549.0,,[0.25],литр
КРЫМСКАЯ-РОЗА,Косметика комплексные решения,Укрепляющий комплекс для ухода за волосами и кожей головы,3026.0,2572.1,,
КРЫМСКАЯ-РОЗА,Косметика комплексные решения,"Комплексное решение для ухода за кожей тела и рук ""Максимальное Увлажнение""",1747.0,1484.95,,
КРЫМСКАЯ-РОЗА,Косметика комплексные решения,Балансирующий комплекс для ухода за волосами и кожей головы,2347.0,1994.95,,
КРЫМСКАЯ-РОЗА,Косметика комплексные решения,"Комплексное решение для ухода за кожей тела и рук ""Интенсивное Питание""",1917.0,1629.45,,
КРЫМСКАЯ-РОЗА,Косметика комплексные решения,Увлажняющий комплекс для ухода за волосами,1797.0,1527.45,,
КРЫМСКАЯ-РОЗА,Косметика комплексные решения,Питательный комплекс для ухода за волосами,1927.0,1637.95,,
КРЫМСКАЯ-РОЗА,Косметика комплексные решения,"Комплексное решение ""Базовый уход для мужчин""",1777.0,1510.45,,
КРЫМСКАЯ-РОЗА,Косметика комплексные решения,"Комплексное решение ""Комфортное бритье и увлажнение для мужчин""",2697.0,2292.45,,
КРЫМСКАЯ-РОЗА,Косметика комплексные решения,Cкажи нет раздражениям,4386.0,3728.1,,
КРЫМСКАЯ-РОЗА,Косметика комплексные решения,UnStress,5196.0,4416.6,,
КРЫМСКАЯ-РОЗА,Косметика комплексные решения,"Комплексное решение для ухода за телом ""Глубокое увлажнение кожи с лавандой и розой""",1777.0,1510.45,,
КРЫМСКАЯ-РОЗА,Косметика комплексные решения,"Комплексное решение для ухода за телом ""Интенсивное омоложение кожи с лавандой и розой""",2107.0,1790.95,,
КРЫМСКАЯ-РОЗА,Косметика комплексные решения,"Комплексное решение ""Глубокое очищение для проблемной и жирной кожи""",2697.0,2292.45,,
КРЫМСКАЯ-РОЗА,Косметика комплексные решения,"Комплексное решение ""Базовый уход за проблемной и жирной кожей""",4246.0,3609.1,,
КРЫМСКАЯ-РОЗА,Косметика комплексные решения,"Комплексное решение ""Против воспалений для проблемной и жирной кожи""",3846.0,3269.1,,
КРЫМСКАЯ-РОЗА,Косметика комплексные решения,"Комплексное решение ""Коррекция постакне""",2947.0,2504.95,,
КРЫМСКАЯ-РОЗА,Косметика комплексные решения,Комплексное омоложение,6895.0,5860.75,,
КРЫМСКАЯ-РОЗА,Косметика комплексные решения,Комплексное решение для лица “Супер Увлажнение”,4446.0,3779.1,,
КРЫМСКАЯ-РОЗА,Косметика комплексные решения,Ровный тон,3996.0,3396.6,,
КРЫМСКАЯ-РОЗА,Косметика комплексные решения,Контроль блеска,3697.0,3142.45,,
КРЫМСКАЯ-РОЗА,Косметика комплексные решения,Набор «Чистота и здоровье кожи»,2947.0,2504.95,,
КРЫМСКАЯ-РОЗА,Косметика комплексные решения,Набор «Молодость и сияние»,4297.0,3652.45,,
КРЫМСКАЯ-РОЗА,Косметика комплексные решения,Набор «Питание и обновление»,3587.0,3048.95,,
КРЫМСКАЯ-РОЗА,Косметика комплексные решения,Набор «Интенсивное увлажнение»,3636.0,3090.6,,
КРЫМСКАЯ-РОЗА,Косметика подарки,Подарочный набор «Lava Sub Rosa»,1399.0,,,
КРЫМСКАЯ-РОЗА,Косметика подарки,Подарочный набор «Rosa Аb Origine»,1499.0,,,
КРЫМСКАЯ-РОЗА,Косметика подарки,"Подарочный набор Uomo Sub Rosa ""Свобода быть собой""",1199.0,,,
КРЫМСКАЯ-РОЗА,Косметика подарки,Брендированная коробка UOMO SUB ROSA,110.0,,,
КРЫМСКАЯ-РОЗА,Косметика подарки,"Брендированная коробка ""Крымская Роза""",110.0,,,
КРЫМСКАЯ-РОЗА,Косметика подарки,"Электронный подарочный сертификат, 10000 руб.",10000.0,,,
КРЫМСКАЯ-РОЗА,Косметика подарки,"Набор косметики ""Знакомство с брендом""",999.0,0.0,,
КРЫМСКАЯ-РОЗА,Косметика подарки,"Электронный подарочный сертификат, 5000 руб.",5000.0,,,
КРЫМСКАЯ-РОЗА,Косметика подарки,"Электронный подарочный сертификат, 2000 руб.",2000.0,,,
КРЫМСКАЯ-РОЗА,Косметика подарки,"Электронный подарочный сертификат, 3000 руб.",3000.0,,,
КРЫМСКАЯ-РОЗА,Косметика подарки,"Электронный подарочный сертификат, 1000 руб.",1000.0,,,
КРЫМСКАЯ-РОЗА,Косметика для него,"Гель для душа освежающий  с экстрактом шиповника, 30 мл",99.0,,[0.03],литр
КРЫМСКАЯ-РОЗА,Косметика для него,"Шампунь-кондиционер увлажняющий с экстрактом шиповника, 30 мл",99.0,,[0.03],литр
КРЫМСКАЯ-РОЗА,Косметика для него,Шампунь-кондиционер увлажняющий с экстрактом шиповника,549.0,,[0.25],литр
КРЫМСКАЯ-РОЗА,Косметика для него,Крем для рук увлажняющий  с экстрактом шиповника,429.0,,[0.1],литр
КРЫМСКАЯ-РОЗА,Косметика для него,Крем для лица увлажняющий с экстрактом шиповника,1399.0,,[0.05],литр
КРЫМСКАЯ-РОЗА,Косметика для него,Крем для лица антивозрастной с экстрактом шиповника,1399.0,,[0.05],литр
КРЫМСКАЯ-РОЗА,Косметика для него,Гель для душа освежающий  с экстрактом шиповника,529.0,,[0.25],литр
КРЫМСКАЯ-РОЗА,Косметика для него,Гель для бритья охлаждающий с экстрактом шиповника,699.0,,[0.2],литр
КРЫМСКАЯ-РОЗА,Косметика для него,Лосьон после бритья успокаивающий с экстрактом шиповника,599.0,,[0.1],литр
КРЫМСКАЯ-РОЗА,Косметика ароматерапия,Эфирное масло грейпфрута,569.0,,[0.005],литр
КРЫМСКАЯ-РОЗА,Косметика ароматерапия,Эфирное масло мяты,349.0,,[0.005],литр
КРЫМСКАЯ-РОЗА,Косметика ароматерапия,Эфирное масло лимона,349.0,,[0.005],литр
КРЫМСКАЯ-РОЗА,Косметика ароматерапия,Эфирное масло лаванды,569.0,,[0.005],литр
КРЫМСКАЯ-РОЗА,Косметика ароматерапия,Эфирное масло розмарина,449.0,,[0.005],литр
КРЫМСКАЯ-РОЗА,Косметика ароматерапия,Эфирное масло герани,569.0,,[0.005],литр
КРЫМСКАЯ-РОЗА,Косметика ароматерапия,Эфирное масло полыни таврической,449.0,,[0.005],литр
КРЫМСКАЯ-РОЗА,Косметика ароматерапия,Эфирное масло кипариса,449.0,,[0.005],литр
КРЫМСКАЯ-РОЗА,Косметика ароматерапия,Эфирное масло чайного дерева,449.0,,[0.005],литр
КРЫМСКАЯ-РОЗА,Косметика ароматерапия,Эфирное масло апельсина,349.0,,[0.005],литр
КРЫМСКАЯ-РОЗА,Косметика ароматерапия,Эфирное масло иланг-иланга,569.0,,[0.005],литр
КРЫМСКАЯ-РОЗА,Косметика ароматерапия,Эфирное масло розы,11999.0,,[0.004],литр
КРЫМСКАЯ-РОЗА,Косметика ароматерапия,Эфирное масло шалфея,569.0,,[0.005],литр
КРЫМСКАЯ-РОЗА,Косметика ароматерапия,Эфирное масло мелиссы,449.0,,[0.005],литр
КРЫМСКАЯ-РОЗА,Косметика для лица,Лифтинг-маска на основе гидролата розы для комплексного омоложения,899.0,764.15,[0.1],литр
КРЫМСКАЯ-РОЗА,Косметика для лица,Успокаивающая сыворотка на основе гидролата розы для восстановления повреждений кожи,1399.0,1189.15,[0.03],литр
КРЫМСКАЯ-РОЗА,Косметика для лица,Детокс-сыворотка на основе гидролата розы для борьбы с последствиями стресса,1399.0,1189.15,[0.03],литр
КРЫМСКАЯ-РОЗА,Косметика для лица,Средство для интенсивного восстановления на основе гидролата розы для борьбы с последствиями стресса,899.0,764.15,[0.05],литр
КРЫМСКАЯ-РОЗА,Косметика для лица,Сыворотка балансирующая для лица с экстрактом лаванды,1399.0,1189.15,[0.03],литр
КРЫМСКАЯ-РОЗА,Косметика для лица,Маска для лица увлажняющая с экстрактом лаванды,899.0,764.15,[0.1],литр
